"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","936","Reglas de contraseña visibles cuando no cumple","","Sat Oct 11 02:58:27 CLST 2025","passed","Sat Oct 11 02:58:28 CLST 2025","","","",""
"","3812","Crear mascota exitosamente (flex)","","Sat Oct 11 02:59:47 CLST 2025","passed","Sat Oct 11 02:59:51 CLST 2025","","","",""
"","12619","Validaciones obligatorias (flex)","","Sat Oct 11 02:59:51 CLST 2025","passed","Sat Oct 11 03:00:04 CLST 2025","","","",""
"","2156","Registro exitoso con datos válidos","","Sat Oct 11 02:58:25 CLST 2025","passed","Sat Oct 11 02:58:27 CLST 2025","","","",""
"","39557","Login exitoso (smoke)","","Sat Oct 11 02:59:08 CLST 2025","failed","Sat Oct 11 02:59:47 CLST 2025","","","",""
